shape,voxel_spacing,axcodes,min_value,max_value,median_value,affine,orientation,is_hwd,image_id,patient,modality,timepoint,image_path,preprocessed_image_path,dataset
"(192, 512, 512)","(0.800000011920929, 0.46875, 0.46875)",LPS,0.0,368.0,0.0,"[[-0.800000011920929, 0.0, 0.0, 80.56818389892578], [0.0, -0.46875, 0.0, 148.1817169189453], [0.0, 0.0, 0.46875, -116.0698013305664], [0.0, 0.0, 0.0, 1.0]]","[[0.0, -1.0], [1.0, -1.0], [2.0, 1.0]]",False,patient01_FLAIR,patient01,flair,,/Volumes/BACH2TB/Datasets/3D-MR-MS/all/patient01/patient01_FLAIR.nii.gz,,3D-MR-MS
"(192, 512, 512)","(0.800000011920929, 0.46875, 0.46875)",LPS,-139.0,1659.0,0.0,"[[-0.800000011920929, 0.0, 0.0, 80.56818389892578], [0.0, -0.46875, 0.0, 148.1817169189453], [0.0, 0.0, 0.46875, -116.0698013305664], [0.0, 0.0, 0.0, 1.0]]","[[0.0, -1.0], [1.0, -1.0], [2.0, 1.0]]",False,patient01_T1W,patient01,t1w,,/Volumes/BACH2TB/Datasets/3D-MR-MS/all/patient01/patient01_T1W.nii.gz,,3D-MR-MS
"(192, 512, 512)","(0.800000011920929, 0.46875, 0.46875)",LPS,-219.0,2227.0,0.0,"[[-0.800000011920929, 0.0, 0.0, 80.56818389892578], [0.0, -0.46875, 0.0, 148.1817169189453], [0.0, 0.0, 0.46875, -116.0698013305664], [0.0, 0.0, 0.0, 1.0]]","[[0.0, -1.0], [1.0, -1.0], [2.0, 1.0]]",False,patient01_T1WKS,patient01,t1wks,,/Volumes/BACH2TB/Datasets/3D-MR-MS/all/patient01/patient01_T1WKS.nii.gz,,3D-MR-MS
"(192, 512, 512)","(0.800000011920929, 0.46875, 0.46875)",LPS,-186.0,1749.0,0.0,"[[-0.800000011920929, 0.0, 0.0, 80.56818389892578], [0.0, -0.46875, 0.0, 148.1817169189453], [0.0, 0.0, 0.46875, -116.0698013305664], [0.0, 0.0, 0.0, 1.0]]","[[0.0, -1.0], [1.0, -1.0], [2.0, 1.0]]",False,patient01_T2W,patient01,t2w,,/Volumes/BACH2TB/Datasets/3D-MR-MS/all/patient01/patient01_T2W.nii.gz,,3D-MR-MS
"(192, 512, 512)","(0.800000011920929, 0.46875, 0.46875)",LPS,0.0,410.0,0.0,"[[-0.800000011920929, 0.0, 0.0, 71.21761322021484], [0.0, -0.46875, 0.0, 141.17103576660156], [0.0, 0.0, 0.46875, -119.03121948242188], [0.0, 0.0, 0.0, 1.0]]","[[0.0, -1.0], [1.0, -1.0], [2.0, 1.0]]",False,patient02_FLAIR,patient02,flair,,/Volumes/BACH2TB/Datasets/3D-MR-MS/all/patient02/patient02_FLAIR.nii.gz,,3D-MR-MS
"(192, 512, 512)","(0.800000011920929, 0.46875, 0.46875)",LPS,-127.0,1468.0,0.0,"[[-0.800000011920929, 0.0, 0.0, 71.21761322021484], [0.0, -0.46875, 0.0, 141.17103576660156], [0.0, 0.0, 0.46875, -119.03121948242188], [0.0, 0.0, 0.0, 1.0]]","[[0.0, -1.0], [1.0, -1.0], [2.0, 1.0]]",False,patient02_T1W,patient02,t1w,,/Volumes/BACH2TB/Datasets/3D-MR-MS/all/patient02/patient02_T1W.nii.gz,,3D-MR-MS
"(192, 512, 512)","(0.800000011920929, 0.46875, 0.46875)",LPS,-154.0,2015.0,0.0,"[[-0.800000011920929, 0.0, 0.0, 71.21761322021484], [0.0, -0.46875, 0.0, 141.17103576660156], [0.0, 0.0, 0.46875, -119.03121948242188], [0.0, 0.0, 0.0, 1.0]]","[[0.0, -1.0], [1.0, -1.0], [2.0, 1.0]]",False,patient02_T1WKS,patient02,t1wks,,/Volumes/BACH2TB/Datasets/3D-MR-MS/all/patient02/patient02_T1WKS.nii.gz,,3D-MR-MS
"(192, 512, 512)","(0.800000011920929, 0.46875, 0.46875)",LPS,-194.0,1486.0,0.0,"[[-0.800000011920929, 0.0, 0.0, 71.21761322021484], [0.0, -0.46875, 0.0, 141.17103576660156], [0.0, 0.0, 0.46875, -119.03121948242188], [0.0, 0.0, 0.0, 1.0]]","[[0.0, -1.0], [1.0, -1.0], [2.0, 1.0]]",False,patient02_T2W,patient02,t2w,,/Volumes/BACH2TB/Datasets/3D-MR-MS/all/patient02/patient02_T2W.nii.gz,,3D-MR-MS
"(192, 512, 512)","(0.800000011920929, 0.46875, 0.46875)",LPS,0.0,363.0,0.0,"[[-0.800000011920929, 0.0, 0.0, 56.012298583984375], [0.0, -0.46875, 0.0, 146.77352905273438], [0.0, 0.0, 0.46875, -88.66478729248047], [0.0, 0.0, 0.0, 1.0]]","[[0.0, -1.0], [1.0, -1.0], [2.0, 1.0]]",False,patient03_FLAIR,patient03,flair,,/Volumes/BACH2TB/Datasets/3D-MR-MS/all/patient03/patient03_FLAIR.nii.gz,,3D-MR-MS
"(192, 512, 512)","(0.800000011920929, 0.46875, 0.46875)",LPS,-167.0,1582.0,0.0,"[[-0.800000011920929, 0.0, 0.0, 56.012298583984375], [0.0, -0.46875, 0.0, 146.77352905273438], [0.0, 0.0, 0.46875, -88.66478729248047], [0.0, 0.0, 0.0, 1.0]]","[[0.0, -1.0], [1.0, -1.0], [2.0, 1.0]]",False,patient03_T1W,patient03,t1w,,/Volumes/BACH2TB/Datasets/3D-MR-MS/all/patient03/patient03_T1W.nii.gz,,3D-MR-MS
