shape,voxel_spacing,axcodes,min_value,max_value,median_value,affine,orientation,is_hwd,image_id,patient,modality,timepoint,image_path,preprocessed_image_path,dataset
"(192, 192, 144)","(1.1979166269302368, 1.1979166269302368, 1.2000000476837158)",PIL,0.0,1088.0,13.0,"[[0.019780652597546577, 0.014018431305885315, -1.199754238128662, 76.88343811035156], [-1.1954082250595093, 0.07514986395835876, -0.018896525725722313, 127.28866577148438], [-0.07491371780633926, -1.1954748630523682, -0.01525668241083622, 103.13343811035156], [0.0, 0.0, 0.0, 1.0]]","[[1.0, -1.0], [2.0, -1.0], [0.0, -1.0]]",False,sub-0001_ses-01_T1w,sub-0001,t1w,,/Volumes/BACH2TB/Datasets/BGSP/orig_bids/sub-0001/ses-01/anat/sub-0001_ses-01_T1w.nii.gz,,BGSP
"(192, 192, 144)","(1.1979166269302368, 1.1979166269302368, 1.2000000476837158)",PIL,0.0,712.0,23.0,"[[0.09193296730518341, 0.06123173609375954, -1.1948877573013306, 80.4393539428711], [-1.1924786567687988, -0.06283825635910034, -0.09529833495616913, 144.6817626953125], [0.06743328273296356, -1.1946992874145508, -0.0562286302447319, 107.01915740966797], [0.0, 0.0, 0.0, 1.0]]","[[1.0, -1.0], [2.0, -1.0], [0.0, -1.0]]",False,sub-0010_ses-01_T1w,sub-0010,t1w,,/Volumes/BACH2TB/Datasets/BGSP/orig_bids/sub-0010/ses-01/anat/sub-0010_ses-01_T1w.nii.gz,,BGSP
"(192, 192, 144)","(1.1979166269302368, 1.1979166269302368, 1.2000000476837158)",PIL,0.0,745.0,16.0,"[[-0.012558292597532272, -0.07864703983068466, -1.1973450183868408, 94.51432037353516], [-1.192188024520874, -0.11527151614427567, 0.020145609974861145, 134.4113006591797], [0.11633680015802383, -1.1897610425949097, 0.07719603180885315, 92.84795379638672], [0.0, 0.0, 0.0, 1.0]]","[[1.0, -1.0], [2.0, -1.0], [0.0, -1.0]]",False,sub-0017_ses-01_T1w,sub-0017,t1w,,/Volumes/BACH2TB/Datasets/BGSP/orig_bids/sub-0017/ses-01/anat/sub-0017_ses-01_T1w.nii.gz,,BGSP
"(192, 192, 144)","(1.1979166269302368, 1.1979166269302368, 1.2000000476837158)",PIL,0.0,684.0,56.0,"[[0.07164296507835388, -0.057338714599609375, -1.1964741945266724, 84.0099105834961], [-1.1941673755645752, 0.058543864637613297, -0.07456918805837631, 146.011474609375], [-0.061934925615787506, -1.195110559463501, 0.053751587867736816, 97.96627807617188], [0.0, 0.0, 0.0, 1.0]]","[[1.0, -1.0], [2.0, -1.0], [0.0, -1.0]]",False,sub-0018_ses-01_T1w,sub-0018,t1w,,/Volumes/BACH2TB/Datasets/BGSP/orig_bids/sub-0018/ses-01/anat/sub-0018_ses-01_T1w.nii.gz,,BGSP
"(192, 192, 144)","(1.1979166269302368, 1.1979166269302368, 1.2000000476837158)",PIL,0.0,756.0,14.0,"[[0.004861622583121061, -0.04555235058069229, -1.1991223096847534, 87.14443969726562], [-1.1892518997192383, 0.14345166087150574, -0.010306794196367264, 112.81034088134766], [-0.14373797178268433, -1.1884236335754395, 0.044717784970998764, 101.4488754272461], [0.0, 0.0, 0.0, 1.0]]","[[1.0, -1.0], [2.0, -1.0], [0.0, -1.0]]",False,sub-0025_ses-01_T1w,sub-0025,t1w,,/Volumes/BACH2TB/Datasets/BGSP/orig_bids/sub-0025/ses-01/anat/sub-0025_ses-01_T1w.nii.gz,,BGSP
"(192, 192, 144)","(1.1979166269302368, 1.1979166269302368, 1.2000000476837158)",PIL,0.0,870.0,12.0,"[[0.009335863403975964, -0.07711289823055267, -1.197474718093872, 92.54951477050781], [-1.1976972818374634, -0.02149347774684429, -0.007981205359101295, 129.0204620361328], [0.020935365930199623, -1.1952388286590576, 0.07740004360675812, 97.32998657226562], [0.0, 0.0, 0.0, 1.0]]","[[1.0, -1.0], [2.0, -1.0], [0.0, -1.0]]",False,sub-0046_ses-01_T1w,sub-0046,t1w,,/Volumes/BACH2TB/Datasets/BGSP/orig_bids/sub-0046/ses-01/anat/sub-0046_ses-01_T1w.nii.gz,,BGSP
"(192, 192, 144)","(1.1979166269302368, 1.1979166269302368, 1.2000000476837158)",PIL,0.0,849.0,21.0,"[[0.13684222102165222, -0.0004631197371054441, -1.1921446323394775, 73.71053314208984], [-1.1850509643554688, 0.10990269482135773, -0.1365443915128708, 131.0247039794922], [-0.10923595726490021, -1.1928644180297852, -0.0121175991371274, 104.56185913085938], [0.0, 0.0, 0.0, 1.0]]","[[1.0, -1.0], [2.0, -1.0], [0.0, -1.0]]",False,sub-0050_ses-01_T1w,sub-0050,t1w,,/Volumes/BACH2TB/Datasets/BGSP/orig_bids/sub-0050/ses-01/anat/sub-0050_ses-01_T1w.nii.gz,,BGSP
"(192, 192, 144)","(1.1979166269302368, 1.1979166269302368, 1.2000000476837158)",PIL,0.0,582.0,17.0,"[[0.010506137274205685, -0.013033950701355934, -1.1998828649520874, 82.8685073852539], [-1.1859631538391113, 0.16836318373680115, -0.01225560437887907, 115.53948211669922], [-0.16847985982894897, -1.1859545707702637, 0.011446804739534855, 107.32905578613281], [0.0, 0.0, 0.0, 1.0]]","[[1.0, -1.0], [2.0, -1.0], [0.0, -1.0]]",False,sub-0054_ses-01_T1w,sub-0054,t1w,,/Volumes/BACH2TB/Datasets/BGSP/orig_bids/sub-0054/ses-01/anat/sub-0054_ses-01_T1w.nii.gz,,BGSP
"(192, 192, 144)","(1.1979166269302368, 1.1979166269302368, 1.2000000476837158)",PIL,0.0,762.0,11.0,"[[-0.003459302242845297, 0.01437307707965374, -1.19990873336792, 88.52455139160156], [-1.1927909851074219, -0.11067739129066467, 0.002120399847626686, 136.5379180908203], [0.11064357310533524, -1.1927062273025513, -0.014656798914074898, 87.21405792236328], [0.0, 0.0, 0.0, 1.0]]","[[1.0, -1.0], [2.0, -1.0], [0.0, -1.0]]",False,sub-0060_ses-01_T1w,sub-0060,t1w,,/Volumes/BACH2TB/Datasets/BGSP/orig_bids/sub-0060/ses-01/anat/sub-0060_ses-01_T1w.nii.gz,,BGSP
"(192, 192, 144)","(1.1979166269302368, 1.1979166269302368, 1.2000000476837158)",PIL,0.0,757.0,22.0,"[[0.11253803223371506, -0.1029878631234169, -1.1902302503585815, 91.04341888427734], [-1.1874243021011353, 0.10158998519182205, -0.12148445844650269, 147.5135040283203], [-0.1111890897154808, -1.1891498565673828, 0.09270244836807251, 97.45267486572266], [0.0, 0.0, 0.0, 1.0]]","[[1.0, -1.0], [2.0, -1.0], [0.0, -1.0]]",False,sub-0063_ses-01_T1w,sub-0063,t1w,,/Volumes/BACH2TB/Datasets/BGSP/orig_bids/sub-0063/ses-01/anat/sub-0063_ses-01_T1w.nii.gz,,BGSP
"(192, 192, 144)","(1.1979166269302368, 1.1979166269302368, 1.2000000476837158)",PIL,0.0,582.0,15.0,"[[-0.11900258809328079, -0.04570784047245979, -1.1931860446929932, 101.99797058105469], [-1.1895395517349243, -0.07217807322740555, 0.12182648479938507, 125.60028076171875], [0.07640857994556427, -1.1948662996292114, 0.03828362748026848, 98.57972717285156], [0.0, 0.0, 0.0, 1.0]]","[[1.0, -1.0], [2.0, -1.0], [0.0, -1.0]]",False,sub-0083_ses-01_T1w,sub-0083,t1w,,/Volumes/BACH2TB/Datasets/BGSP/orig_bids/sub-0083/ses-01/anat/sub-0083_ses-01_T1w.nii.gz,,BGSP
"(192, 192, 144)","(1.1979166269302368, 1.1979166269302368, 1.2000000476837158)",PIL,0.0,821.0,22.0,"[[-0.01677238754928112, -0.029877228662371635, -1.1995091438293457, 87.62165069580078], [-1.1922675371170044, 0.11537503451108932, 0.013845358975231647, 117.36723327636719], [-0.11498311907052994, -1.1919732093811035, 0.03140639886260033, 98.8333511352539], [0.0, 0.0, 0.0, 1.0]]","[[1.0, -1.0], [2.0, -1.0], [0.0, -1.0]]",False,sub-0090_ses-01_T1w,sub-0090,t1w,,/Volumes/BACH2TB/Datasets/BGSP/orig_bids/sub-0090/ses-01/anat/sub-0090_ses-01_T1w.nii.gz,,BGSP
"(192, 192, 144)","(1.1979166269302368, 1.1979166269302368, 1.2000000476837158)",PIL,0.0,634.0,14.0,"[[-0.02797529473900795, -0.0413469634950161, -1.1989575624465942, 94.49405670166016], [-1.197582721710205, 0.005135885439813137, 0.027862807735800743, 126.21124267578125], [-0.00417139008641243, -1.197191834449768, 0.04152720794081688, 99.02440643310547], [0.0, 0.0, 0.0, 1.0]]","[[1.0, -1.0], [2.0, -1.0], [0.0, -1.0]]",False,sub-0093_ses-01_T1w,sub-0093,t1w,,/Volumes/BACH2TB/Datasets/BGSP/orig_bids/sub-0093/ses-01/anat/sub-0093_ses-01_T1w.nii.gz,,BGSP
"(192, 192, 144)","(1.1979166269302368, 1.1979166269302368, 1.2000000476837158)",PIL,0.0,811.0,22.0,"[[0.07636305689811707, -0.020449871197342873, -1.1973841190338135, 82.09325408935547], [-1.1950292587280273, 0.03159187361598015, -0.07701960951089859, 135.64173889160156], [-0.032835543155670166, -1.197325348854065, 0.018418801948428154, 107.12669372558594], [0.0, 0.0, 0.0, 1.0]]","[[1.0, -1.0], [2.0, -1.0], [0.0, -1.0]]",False,sub-0102_ses-01_T1w,sub-0102,t1w,,/Volumes/BACH2TB/Datasets/BGSP/orig_bids/sub-0102/ses-01/anat/sub-0102_ses-01_T1w.nii.gz,,BGSP
"(192, 192, 144)","(1.1979166269302368, 1.1979166269302368, 1.2000000476837158)",PIL,0.0,707.0,22.0,"[[-0.08636317402124405, 0.036777909845113754, -1.19631028175354, 85.8958511352539], [-1.1946688890457153, 0.015045486390590668, 0.0870090201497078, 138.96353149414062], [-0.01766590215265751, -1.197257399559021, -0.03565560653805733, 112.06243896484375], [0.0, 0.0, 0.0, 1.0]]","[[1.0, -1.0], [2.0, -1.0], [0.0, -1.0]]",False,sub-0104_ses-01_T1w,sub-0104,t1w,,/Volumes/BACH2TB/Datasets/BGSP/orig_bids/sub-0104/ses-01/anat/sub-0104_ses-01_T1w.nii.gz,,BGSP
"(192, 192, 144)","(1.1979166269302368, 1.1979166269302368, 1.2000000476837158)",PIL,0.0,882.0,28.0,"[[0.039395831525325775, -0.053820833563804626, -1.1981385946273804, 91.56696319580078], [-1.1959717273712158, 0.05391737073659897, -0.04189187288284302, 132.8233184814453], [-0.055712610483169556, -1.1954917907714844, 0.05205095186829567, 102.21240997314453], [0.0, 0.0, 0.0, 1.0]]","[[1.0, -1.0], [2.0, -1.0], [0.0, -1.0]]",False,sub-0110_ses-01_T1w,sub-0110,t1w,,/Volumes/BACH2TB/Datasets/BGSP/orig_bids/sub-0110/ses-01/anat/sub-0110_ses-01_T1w.nii.gz,,BGSP
"(192, 192, 144)","(1.1979166269302368, 1.1979166269302368, 1.2000000476837158)",PIL,0.0,963.0,18.0,"[[-0.06306633353233337, 0.0012738663936033845, -1.1983351707458496, 92.02848815917969], [-1.1857730150222778, 0.1581691950559616, 0.06279118359088898, 110.96046447753906], [-0.1580164134502411, -1.1874279975891113, 0.007078797556459904, 111.14509582519531], [0.0, 0.0, 0.0, 1.0]]","[[1.0, -1.0], [2.0, -1.0], [0.0, -1.0]]",False,sub-0111_ses-01_T1w,sub-0111,t1w,,/Volumes/BACH2TB/Datasets/BGSP/orig_bids/sub-0111/ses-01/anat/sub-0111_ses-01_T1w.nii.gz,,BGSP
